CRN,Course,Area of LLC,Days,Time,Location,Seats Still Available,STATUS
8362,HONR 490,  HON  WI,TR,1330-1445,TRIB 208,1,1
8363,HONR 490,  HON  WI,MW,1600-1715,FERG 207,0,0
9227,HORN 234,,,,ARR ,0,0
9093,IDST 205,  AIGM,MWF,1300-1350,FORBES 2014,3,1
8132,IDST 210,,TR,1630-1745,MCM 310,0,0
9259,IDST 210,,TR,1800-1915,MCM 310,0,0
8959,IDST 255,  AIGM,TR,1330-1445,MCM 257,0,0
9094,IDST 255,  AIGM,MWF,1100-1150,MCM 257,1,1
8133,IDST 270,,MWF,1400-1450,TRIB 1213,11,1
9135,IDST 270,,MWF,1100-1150,TRIB 1213,6,1
8187,IDST 377,,TR,1800-1915,TFAC 204,5,1
8327,IDST 480,,TR,1330-1445,MCM 262,8,1
8744,IDST 490,,TR,1330-1445,TRIB 1210,0,0
9228,IMPR 132,,,,ARR ,0,0
9080,ITAL 102,,TR,1100-1215,TFAC 204,0,0
9081,ITAL 102,,TR,1330-1445,MCM 357,2,1
9082,LATN 102,,MWF,1200-1250,MCM 162,0,0
9083,LATN 102,,MWF,1300-1350,MCM 162,2,1
9084,LATN 202,  LLFL,MWF,1300-1350,MCM 310,8,1
9085,LATN 306,  LLFL,MWF,1100-1150,MCM 200D,11,1
9086,LATN 406,  LLFL,MWF,1100-1150,MCM 200D,3,1
8387,LDSP 240,,TR,0800-0915,LUTR 137,0,0
8396,LDSP 240,,TR,1330-1445,MCM 312,0,0
8397,LDSP 240,,TR,1500-1615,MCM 312,0,0
8398,LDSP 240,,TR,1630-1745,LUTR 137,0,0
8399,LDSP 240,,TR,1800-1915,LUTR 137,0,0
8400,LDSP 240,,MWF,0800-0850,LUTR 242,0,0
8401,LDSP 240,,TR,0930-1045,TRIB 208,0,0
8388,LDSP 240,,TR,0930-1045,LUTR 137,0,0
8389,LDSP 240,,TR,1630-1745,LUTR 142,0,0
8390,LDSP 240,,MWF,0900-0950,MCM 210,0,0
8391,LDSP 240,,MWF,1100-1150,LUTR 347,0,0
8392,LDSP 240,,MWF,1200-1250,TRIB 208,0,0
8393,LDSP 240,,MWF,1300-1350,TRIB 208,2,1
8394,LDSP 240,,MWF,0900-0950,LUTR 242,0,0
8395,LDSP 240,,TR,1100-1215,MCM 114,0,0
8402,LDSP 250,,TR,1800-1915,LUTR 372,0,0
9165,LDSP 295,,TR,1100-1215,TRIB 208,0,0
8403,LDSP 330,AIGM,MWF,0900-0950,TRIB 208,0,0
8404,LDSP 330,AIGM,MWF,1000-1050,TRIB 208,0,0
8405,LDSP 338,,TR,0930-1045,LUTR 264,0,0
8406,LDSP 338,,TR,1100-1215,LUTR 264,1,1
8407,LDSP 338,,MW,1600-1715,LUTR 264,0,0
8408,LDSP 338,,MW,1800-1915,LUTR 269,0,0
9281,LDSP 359,,TR,1500-1615,FORBES 2012,5,1
8409,LDSP 370,,W,1800-2045,LUTR 347,0,0
8410,LDSP 380,,MW,1600-1715,LUTR 170,0,0
9166,LDSP 395,,TR,1500-1615,MCM 114,0,0
8411,LDSP 442,,TR,1330-1445,MCM 364,5,1
8412,LDSP 442,,TR,1500-1615,MCM 364,1,1
8413,LDSP 442,,MWF,0900-0950,MCM 364,0,0
8414,LDSP 442,,MWF,1000-1050,MCM 364,0,0
8415,LDSP 442,,MWF,1200-1250,LUTR 347,0,0
8416,LDSP 442,,MWF,1300-1350,MCM 207,0,0
8417,LDSP 442,,MWF,1400-1450,MCM 207,0,0
8418,LDSP 464,,MWF,1100-1150,MCM 200C,0,0
8420,MATH 109,,TR,1100-1215,LUTR 352,7,1
8421,MATH 109,,TR,1330-1445,LUTR 352,11,1
8422,MATH 115,  LLFM,MWF,0900-0950,LUTR 372,0,0
8423,MATH 115,  LLFM,MWF,1000-1050,LUTR 372,0,0
8424,MATH 115,  LLFM,TR,1330-1445,LUTR 372,0,0
8425,MATH 115,  LLFM,TR,1500-1615,LUTR 372,0,0
8426,MATH 120,  LLFM,TR,0800-0915,LUTR 264,0,0
8427,MATH 125,  LLFM,MWF,0800-0850,LUTR 372,0,0
8428,MATH 125,  LLFM,MWF,1100-1150,LUTR 372,0,0
8429,MATH 125,  LLFM,MWF,1200-1250,LUTR 372,0,0
8430,MATH 125,  LLFM,MW,1600-1715,FORBES 2070E,0,0
8431,MATH 125,  LLFM,MW,1600-1715,LUTR 372,0,0
8432,MATH 125,  LLFM,MW,1800-1915,LUTR 372,0,0
8433,MATH 125,  LLFM,TR,0930-1045,LUTR 372,0,0
8434,MATH 125,  LLFM,TR,1100-1215,LUTR 372,0,0
8436,MATH 127,  LLFM,MWF,1300-1350,LUTR 242,0,0
8437,MATH 128,  LLFM,TR,0930-1045,FERG 220,7,1
8438,MATH 130,  LLFM,MWF,0800-0850,FORBES 2070D,0,0
8439,MATH 130,  LLFM,MWF,0900-0950,FORBES 2070D,0,0
8440,MATH 130,  LLFM,MWF,1200-1250,LUTR 264,0,0
8442,MATH 130,  LLFM,TR,1500-1615,LUTR 376,0,0
8443,MATH 130,  LLFM,MW,1600-1715,LUTR 376,0,0
8444,MATH 131,  LLFM,MWF,1400-1450,LUTR 376,0,0
8445,MATH 132,  LLFM,MWF,1400-1450,LUTR 242,20,1
8446,MATH 135,  LLFM,MWF,1000-1050,LUTR 170,0,0
8447,MATH 135,  LLFM,MWF,1100-1150,LUTR 170,0,0
8448,MATH 135,  LLFM,TR,1330-1445,LUTR 264,0,0
8449,MATH 135,  LLFM,TR,1630-1745,LUTR 376,0,0
8451,MATH 140,  LLFM,MTWRF,0800-0850,LUTR 376,0,0
8452,MATH 140,  LLFM,MTWRF,1100-1150,LUTR 376,0,0
8453,MATH 140,  LLFM,MWF; TR,0900-0950; 0930-1020,LUTR 376; LUTR 376,0,0
8454,MATH 140,  LLFM,MWF; TR,1300-1350; 1330-1420,LUTR 376; LUTR 376,0,0
8455,MATH 235,  LLFM,MWF,1000-1050,LUTR 352,9,1
8456,MATH 235,  LLFM,TR,1100-1215,LUTR 347,0,0
8457,MATH 240,  LLFM,MW; F,0800-0915; 0800-0850,FORBES 2070A; FORBES 2070A,17,1
8458,MATH 240,  LLFM,MW; F,1200-1315; 1200-1250,FORBES 2070A; FORBES 2070A,5,1
8459,MATH 240,  LLFM,MW; F,1400-1515; 1400-1450,FORBES 2070A; FORBES 2070A,1,1
8460,MATH 240,  LLFM,TR,1500-1645,LUTR 264,13,1
8461,MATH 245,  LLFM,MWF,1300-1350,FORBES 3012,14,1
8462,MATH 247,  LLFM,MWF,1100-1150,FORBES 2070A,0,0
8463,MATH 247,  LLFM,TR,1330-1445,FORBES 3014,13,1
8464,MATH 250,  LLFM,MWF,1200-1250,LUTR 376,1,1
8465,MATH 260,  LLFM,MWF,1000-1050,LUTR 376,9,1
8466,MATH 301,  LLFM  WI,M,1300-1350,LUTR 352,2,1
8467,MATH 303,  LLFM  WI,F,1300-1350,LUTR 352,8,1
8468,MATH 345,  LLFM,MWF,0900-0950,LUTR 352,8,1
8469,MATH 347,  LLFM,TR,0930-1045,FERG 221,17,1
8470,MATH 350,  LLFM,MWF,1400-1450,LUTR 142,12,1
8471,MATH 360,  LLFM,MWF,0800-0850,LUTR 269,18,1
8472,MATH 375,  LLFM,MWF,1100-1150,LUTR 352,11,1
8473,MATH 378,  LLFM,TR,0930-1045,LUTR 352,14,1
8474,MATH 435,  LLFM,MWF,1000-1050,FORBES 2070C,12,1
8475,MATH 440,  LLFM,TR,1100-1215,FORBES 2014,18,1
8476,MATH 451,  LLFM,W,1300-1350,LUTR 372,7,1
8477,MATH 470,  LLFM,MWF,1200-1250,LUTR 242,14,1
9037,MGMT 310,,TR,1330-1445,LUTR 269,0,0
9038,MGMT 310,,TR,1500-1615,LUTR 269,6,1
9039,MGMT 355,,TR,1100-1215,LUTR 123,0,0
9040,MGMT 355,,TR,0800-0915,LUTR 105,13,1
9041,MGMT 456,,MW,1800-1915,LUTR 242,5,1
9043,MGMT 491,  WI,MWF,1400-1450,LUTR 137,10,1
9044,MGMT 491,  WI,MWF,0900-0950,LUTR 137,8,1
9045,MGMT 491,  WI,MW,1600-1715,LUTR 131,17,1
9278,MGMT 499,,,,ARR ,0,0
9046,MKTG 310,,TR,1100-1215,LUTR 142,1,1
9047,MKTG 310,,TR,0930-1045,LUTR 142,0,0
9048,MKTG 330,  WI,MWF,1100-1150,LUTR 269,0,0
9049,MKTG 330,  WI,MWF,1200-1250,LUTR 269,5,1
9050,MKTG 420,,TR,1500-1615,MCM 210,17,1
9051,MKTG 470,,TR,1630-1745,FORBES 3014,13,1
9052,MKTG 470,,TR,0930-1045,FERG 208,0,0
9087,MLAN 206,  AIWT,TR,1100-1215,MCM 162,0,0
9088,MLAN 308,  AIGM,MWF,1100-1150,MCM 212,8,1
9089,MLAN 308,  AIGM,MWF,1400-1450,MCM 312,12,1
9090,MLAN 310,  AICE  WI,MWF,1300-1350,MCM 357,4,1
9091,MLAN 311,,TR,1330-1445,FORBES 2088,16,1
9092,MLAN 511,,T,1630-1915,MCM 364,12,1
8364,MLSC 102,,TR,1100-1215,MCM 112,11,1
8365,MLSC 102L,,T,1500-1715,ARR ,11,1
8366,MLSC 202,,TR,0930-1045,MCM 112,6,1
8367,MLSC 202L,,T,1500-1715,ARR ,6,1
8368,MLSC 302,,TR,0800-0915,MCM 112,2,1
8369,MLSC 302L,,T,1500-1715,ARR ,2,1
8370,MLSC 402,,TR,1330-1445,MCM 112,5,1
9264,MLSC 402,,,,ARR ,0,0
8371,MLSC 402L,,T,1500-1715,ARR ,4,1
8198,MUSC 012,,,,ARR ,53,1
8199,MUSC 014,,,,ARR ,0,0
8208,MUSC 014,,,,ARR ,0,0
8209,MUSC 014,,,,ARR ,0,0
8210,MUSC 014,,,,ARR ,0,0
8211,MUSC 014,,T,1230-1320,FERG R118,0,0
8212,MUSC 014,,R,1230-1320,FERG A183,0,0
8213,MUSC 014,,,,ARR ,0,0
8214,MUSC 014,,,,ARR ,0,0
8215,MUSC 014,,,,ARR ,0,0
8200,MUSC 014,,W,1200-1250,FERG 213,0,0
8201,MUSC 014,,,,ARR ,0,0
8202,MUSC 014,,R,1230-1320,FERG R118,0,0
8203,MUSC 014,,,,ARR ,0,0
8204,MUSC 014,,,,ARR ,0,0
8205,MUSC 014,,,,ARR ,0,0
8206,MUSC 014,,,,ARR ,0,0
8207,MUSC 014,,M,1200-1250,FERG R106,0,0
8216,MUSC 100,  AICE,TR,1630-1745,FERG R118,21,1
8217,MUSC 101,  AICE,TR,1630-1820,FERG R106,20,1
8218,MUSC 102,  AICE,TR,1700-1820,FERG A183,42,1
8219,MUSC 103,  AICE,MWF,1300-1350,FERG R106,5,1
8220,MUSC 104,,MF,1200-1250,FERG 213,1,1
8221,MUSC 104,,WF,1100-1150,FERG R106,16,1
8222,MUSC 105,  AICE,MWF,1300-1430,FERG R118,0,0
8223,MUSC 108,,MWF,1400-1450,FERG R106,10,1
8224,MUSC 114,  AICE,MW,1600-1750,FERG R106,31,1
8225,MUSC 116,,TR,1100-1215,FERG 213,0,0
8226,MUSC 116,,TR,0930-1045,FERG 213,2,1
8227,MUSC 122,,,,ARR ,16,1
8228,MUSC 123,,W,2000-2200,FERG R106,85,1
8229,MUSC 124,,MWF,1500-1550,FERG R106,5,1
8230,MUSC 127,,,,ARR ,19,1
8231,MUSC 136,,MWF,0900-0950,FERG 210,15,1
8232,MUSC 137,,TR,1330-1445,FERG A182,6,1
8233,MUSC 139,,TR,1330-1445,FERG 213,8,1
8234,MUSC 144,,TR,1100-1215,FERG 207,2,1
8235,MUSC 200,,MWF,1100-1150,FERG 213,7,1
8236,MUSC 205,  AICE,TR,1330-1445,FERG R118,0,0
8237,MUSC 210,,TR,0930-1045,FERG 210,1,1
8238,MUSC 210,,TR,1100-1215,FERG 210,1,1
8239,MUSC 212,,MWF,1000-1050,FERG 210,1,1
8240,MUSC 216,,TR,1500-1615,FERG 213,8,1
8241,MUSC 230,,MWF,0900-0950,FERG A183,4,1
8242,MUSC 250,,TR,0930-1045,FERG A182,19,1
8243,MUSC 261,,MWF,1500-1550,FERG A183,19,1
8244,MUSC 266,,MWF,1100-1150,FERG A183,17,1
8245,MUSC 304,,TR,0930-1045,FERG 207,7,1
8246,MUSC 306,  AIGM,TR,1330-1445,FERG A183,5,1
8247,MUSC 310,,TR,1330-1445,FERG 222,13,1
8248,MUSC 312,,MWF,1100-1150,FERG 210,13,1
8249,MUSC 315,  AICE,MWF,1000-1050,FERG 213,6,1
8250,MUSC 413,,MWF,1400-1450,FERG 210,17,1
8251,MUSC 417,,TR,1330-1445,FERG 207,8,1
8252,MUSC 490,  WI,MWF,1500-1550,FERG 210,16,1
8253,MUSC 517,,TR,1100-1215,FERG A182,17,1
8254,MUSC 518,,MW,1500-1615,FERG R118,18,1
8630,NEUR 201,,MWF,1400-1450,FORBES 2070E,23,1
9129,NEUR 300,,TR,0800-0915,FORBES 2090,0,0
9133,NEUR 300L,,TR,1100-1215,FORBES 2090,0,0
9130,NEUR 301,  WI,MWF,1100-1150,FORBES 2002,7,1
9131,NEUR 301L,,M,1300-1545,FORBES 2002,7,1
8631,NEUR 305,,MWF,1000-1050,FORBES 2015,11,1
8632,NEUR 420,,TR,1330-1445,FORBES 2012,1,1
8910,NEUR 480,,MWF,1000-1050,FORBES 1033,8,1
8633,NEUR 490,  WI,TR,1500-1615,FORBES 2088,7,1
9171,NSCI 310,,W,1700-1945,MCM 216,31,1
8862,PCSE 572,,MWF,1500-1550,LUTR 170,11,1
9205,PCSE 595,,MWF,1400-1450,MCM 110,3,1
8863,PCSE 699,,M,1200-1250,LUTR 322,11,1
9229,PERC 132,,,,ARR ,0,0
9230,PERC 134,,,,ARR ,0,0
9231,PERC 332,,,,ARR ,0,0
9232,PERC 333,,,,ARR ,0,0
8283,PHIL 101,  LLFR,MW,1930-2045,MCM 160,0,0
8284,PHIL 101,  LLFR,MWF,0900-0950,MCM 216,0,0
8285,PHIL 201,  AIGM,MWF,0900-0950,MCM 212,0,0
8286,PHIL 201,  AIGM,MWF,1000-1050,MCM 212,0,0
8289,PHIL 202,  AIWT,TR,0930-1045,MCM 312,0,0
8290,PHIL 202,  AIWT,TR,1100-1215,MCM 360,0,0
8291,PHIL 202,  AIWT,TR,1330-1445,MCM 314,0,0
9197,PHIL 202,  AIWT,TR,1330-1445,LUTR 142,0,0
8294,PHIL 205,  LLFR,TR,1500-1615,MCM 101,23,1
8295,PHIL 207,  LLFR,TR,0930-1045,MCM 101,0,0
9196,PHIL 207,  LLFR,MWF,1100-1150,FORBES 3014,0,0
9193,PHIL 207,  LLFR,TR,0800-0915,MCM 160,7,1
9194,PHIL 207,  LLFR,MWF,0800-0850,MCM 362,14,1
9195,PHIL 207,  LLFR,MWF,1200-1250,FORBES 3014,0,0
8301,PHIL 306,  AICE,TR,1630-1745,MCM 314,0,0
8302,PHIL 308,,TR,1100-1215,TRIB 1213,7,1
8303,PHIL 312,,MWF,1400-1450,MCM 366,0,0
8304,PHIL 315,,MWF,1100-1150,MCM 200B,4,1
8306,PHIL 326,  WI,TR,1100-1215,MCM 312,0,0
8307,PHIL 337,,TR,0930-1045,TRIB 1213,0,0
8308,PHIL 348,,MWF,1000-1050,MCM 200B,14,1
9191,PHIL 384,  AIWT,TR,0800-0915,MCM 162,0,0
8309,PHIL 451,,TR,1630-1745,MCM 366,8,1
8310,PHIL 490,  WI,MWF,1300-1350,MCM 200D,13,1
8864,PHYS 105L,  AINW,R,1800-2045,SYN ,12,1
8865,PHYS 105L,  AINW,W,1800-2045,SYN ,6,1
8866,PHYS 141,  AINW,TR,1500-1615,FORBES 2015,0,0
9152,PHYS 144,  AINW,TR,1800-1915,FORBES 2070D,0,0
8868,PHYS 151,  AINW,TR,1100-1215,FORBES 2070C,0,0
8869,PHYS 151L,  AINW,M,1800-2045,SYN ,3,1
8870,PHYS 152,  AINW,MW,1800-1915,LUTR 121,25,1
8871,PHYS 152,  AINW,TR,0930-1045,LUTR 121,24,1
8872,PHYS 152L,  AINW,W,1300-1545,LUTR 306,0,0
8873,PHYS 152L,  AINW,W,1800-2045,LUTR 306,8,1
8874,PHYS 152L,  AINW,R,1800-2045,LUTR 306,0,0
8875,PHYS 152L,  AINW,T,1800-2045,LUTR 306,0,0
8876,PHYS 152L,  AINW,W,0900-1145,LUTR 306,23,1
8877,PHYS 201,  AINW,MWF,1000-1050,FORBES 3014,0,0
8878,PHYS 201L,  AINW,M,1800-2045,LUTR 306,0,0
8879,PHYS 202,  AINW,TR,0800-0915,LUTR 322,7,1
8880,PHYS 202,  AINW,TR,1330-1445,LUTR 322,0,0
8881,PHYS 202,  AINW,TR,1500-1615,LUTR 258,3,1
8882,PHYS 202L,  AINW,R,0930-1215,LUTR 310,6,1
8883,PHYS 202L,  AINW,R,1800-2045,LUTR 310,1,1
8884,PHYS 202L,  AINW,W,1800-2045,LUTR 310,0,0
8885,PHYS 301,,TR,1330-1445,LUTR 323,18,1
8886,PHYS 340,,TR,0930-1045,LUTR 323,14,1
8887,PHYS 402,,TR,1330-1445,LUTR 310,22,1
8888,PHYS 406,,MWF,1000-1050,LUTR 137,21,1
8889,PHYS 431,,MWF,1300-1350,LUTR 142,19,1
8890,PHYS 498,  WI,MW,1800-1915,LUTR 322,3,1
8891,PHYS 502,,TR,1330-1445,LUTR 310,3,1
8892,PHYS 506,,MWF,1000-1050,LUTR 137,2,1
8893,PHYS 521,,TR,0800-0915,LUTR 170,5,1
8894,PHYS 531,,MWF,1300-1350,LUTR 142,3,1
9234,PIAN 132,,,,ARR ,0,0
9235,PIAN 232,,,,ARR ,0,0
9236,PIAN 333,,,,ARR ,0,0
9237,PIAN 434,,,,ARR ,0,0
8624,PMED 010,,TR,1230-1320,FORBES 1022,4,1
8625,PMED 020,,TR,1230-1320,FORBES 1022,4,1
8626,PMED 030,,TR,1230-1320,FORBES 1022,22,1
8627,PMED 040,,TR,1230-1320,FORBES 1022,18,1
8690,POLS 100,,TR,0930-1045,MCM 212,0,0
8691,POLS 100,,TR,1330-1445,MCM 316,0,0
8692,POLS 101,  AIDE,MWF,1100-1150,MCM 101,0,0
8693,POLS 101,  AIDE,MW,1600-1715,MCM 160,0,0
8694,POLS 202,,R,1800-2045,MCM 316,2,1
8695,POLS 215,,MWF,1100-1150,MCM 307,9,1
8696,POLS 215,,MWF,1000-1050,MCM 307,0,0
8697,POLS 215,,TR,1630-1745,MCM 164,3,1
8698,POLS 215,,T,1800-2045,MCM 210,2,1
8699,POLS 240,  AIDE,MW,1600-1715,MCM 162,0,0
8700,POLS 315,,TR,0930-1045,MCM 114,0,0
8701,POLS 316,,MWF,1300-1350,MCM 364,0,0
8702,POLS 316,,MWF,1400-1450,MCM 364,0,0
8703,POLS 320,,MWF,1000-1050,MCM 160,0,0
8704,POLS 322,,MWF,1400-1450,MCM 360,3,1
8705,POLS 333,,TR,0930-1045,MCM 207,2,1
8706,POLS 333,,TR,1100-1215,MCM 207,0,0
8707,POLS 335,,MWF,1100-1150,MCM 314,0,0
8708,POLS 338,,TR,1100-1215,MCM 257,0,0
8709,POLS 340,,TR,1330-1445,LUTR 131,0,0
8711,POLS 352,,TR,0930-1045,MCM 110,5,1
8712,POLS 352,,TR,1100-1215,MCM 110,1,1
8713,POLS 353,,TR,1100-1215,MCM 200C,1,1
8714,POLS 353,,TR,1500-1615,MCM 316,6,1
8715,POLS 371,  WI,W,1600-1845,MCM 210,3,1
8716,POLS 380,,TR,1330-1445,FERG 208,0,0
8717,POLS 380,,TR,1500-1615,FERG 208,1,1
9147,POLS 395,,TR,1630-1745,MCM 110,0,0
8718,POLS 410,,MWF,1300-1350,MCM 164,0,0
8719,POLS 454,,TR,1500-1615,MCM 357,11,1
8720,POLS 490,  WI,TR,1330-1445,MCM 200D,1,1
8721,POLS 490,  WI,TR,1630-1745,MCM 316,0,0
8722,POLS 490,  WI,MWF,1200-1250,MCM 307,0,0
8723,POLS 491,,,,ARR ,9,1
8634,PSYC 201,  AINW,MWF,1300-1350,FORBES 1022,0,0
8635,PSYC 201,  AINW,TR,0930-1045,FORBES 1022,0,0
8636,PSYC 202,,TR,1330-1445,FORBES 1022,46,1
8637,PSYC 202,,MWF,1400-1450,FORBES 1022,0,0
8638,PSYC 207,,TR,1630-1745,FORBES 2070D,25,1
8639,PSYC 207,,TR,1500-1615,FORBES 2070D,7,1
8640,PSYC 208,,W,1800-2045,FORBES 2015,39,1
8641,PSYC 208,,TR,1330-1445,FORBES 2070E,0,0
8642,PSYC 208,,TR,1500-1615,FORBES 2070E,15,1
8643,PSYC 300,,MWF,0800-0850,FORBES 2090,12,1
8644,PSYC 300,,MWF,0900-0950,FORBES 2090,0,0
8645,PSYC 300,,MWF,1500-1550,FORBES 2090,23,1
8646,PSYC 301,  WI,TR,1100-1215,FORBES 2009,1,1
8647,PSYC 301,  WI,MWF,0900-0950,FORBES 2002,0,0
8648,PSYC 301,  WI,MWF,1000-1050,FORBES 2090,0,0
8649,PSYC 301,  WI,MWF,1300-1350,FORBES 2090,0,0
8650,PSYC 301L,,TR,1330-1445,FORBES 2009,1,1
8651,PSYC 301L,,MWF,1000-1050,FORBES 2002,0,0
8652,PSYC 301L,,MWF,1100-1150,FORBES 2090,0,0
8653,PSYC 301L,,MWF,1400-1450,FORBES 2090,0,0
8654,PSYC 304,,MWF,0900-0950,FORBES 2015,0,0
8655,PSYC 304,,MWF,1100-1150,MCM 262,0,0
8656,PSYC 305,,MWF,1000-1050,FORBES 2070A,0,0
8657,PSYC 306,,MWF,0900-0950,FORBES 2074,37,1
8658,PSYC 306,,MWF,1000-1050,FORBES 2074,32,1
9137,PSYC 309,,TR,1500-1615,FORBES 2074,6,1
8660,PSYC 312,,TR,1630-1745,FORBES 2074,23,1
8661,PSYC 314,,TR,1100-1215,FORBES 2070A,0,0
8662,PSYC 314,,TR,1330-1445,FORBES 2015,0,0
8663,PSYC 315,,TR,0930-1045,FORBES 2074,0,0
8664,PSYC 315,,TR,1100-1215,FORBES 2074,0,0
9138,PSYC 317,,TR,0930-1045,FORBES 2070A,0,0
8666,PSYC 336,,M,1800-2045,FORBES 2070E,0,0
8667,PSYC 350,,TR,0800-0915,FORBES 2015,0,0
8668,PSYC 360,,TR,1330-1445,FORBES 2070C,10,1
9206,PSYC 395,,MWF,1300-1350,MCM 160,22,1
9149,PSYC 395L,,TR,1100-1215,FORBES 2090,7,1
8669,PSYC 405,,MWF,0800-0850,FORBES 2009,0,0
8683,PSYC 405L,,MWF,0900-0950,FORBES 2009,0,0
8670,PSYC 406,,TR,1330-1445,FORBES 2002,0,0
8684,PSYC 406L,,TR,1500-1615,FORBES 2002,0,0
8671,PSYC 408,,MWF,1300-1350,FORBES 2070E,0,0
8685,PSYC 408L,,M,1400-1645,FORBES 2009,0,0
8686,PSYC 408L,,W,1400-1645,FORBES 2009,0,0
8672,PSYC 409,,W,1800-2045,FORBES 2070E,1,1
8687,PSYC 409L,,TR,1800-1915,FORBES 2088,0,0
8688,PSYC 409L,,TR,1630-1745,FORBES 2088,0,0
8673,PSYC 420,,TR,1330-1445,FORBES 2070D,12,1
8674,PSYC 430,,TR,0930-1045,FORBES 2002,0,0
8689,PSYC 430L,,TR,1100-1215,FORBES 2002,0,0
8675,PSYC 490,  WI,MWF,1400-1450,FORBES 2014,0,0
8676,PSYC 490,  WI,MWF,1300-1350,FORBES 2009,0,0
8677,PSYC 490,  WI,TR,0930-1045,FORBES 2009,0,0
8678,PSYC 490,  WI,MW,1600-1715,FORBES 2088,4,1
8679,PSYC 491,,MWF,1200-1250,FORBES 2012,1,1
9150,PSYC 495,,TR,1500-1615,FORBES 2014,0,0
9151,PSYC 495L,,TR,1630-1745,FORBES 2015,0,0
9275,PSYC 499,,,,ARR ,0,0
8681,PSYC 535,,R,1630-1915,FORBES 2070E,5,1
8682,PSYC 544,,T,1630-1915,FORBES 2012,0,0
8311,RSTD 211,  AIGM,TR,1500-1615,MCM 257,0,0
9189,RSTD 211,  AIGM,MWF,0900-0950,MCM 362,0,0
9190,RSTD 211,  AIGM,TR,1630-1745,MCM 162,0,0
9192,RSTD 211,  AIGM,MWF,1200-1250,MCM 207,0,0
8313,RSTD 212,  AIWT,MW,1930-2045,MCM 314,0,0
8314,RSTD 212,  AIWT,MW,1800-1915,MCM 314,0,0
8317,RSTD 212,  AIWT,MWF,1200-1250,MCM 310,0,0
9188,RSTD 212,  AIWT,MWF,1100-1150,MCM 207,0,0
9200,RSTD 212,  AIWT,MW,1600-1715,MCM 314,0,0
8318,RSTD 232,  AIWT,MW,1600-1715,MCM 364,0,0
9186,RSTD 232,  AIWT,TR,1500-1615,MCM 307,0,0
9187,RSTD 232,  AIWT,TR,1330-1445,MCM 200B,0,0
8320,RSTD 270,  AIGM,MWF,1000-1050,MCM 200C,2,1
8321,RSTD 312,  AICE,TR,1100-1215,MCM 200B,2,1
8323,RSTD 326,  WI,W,1800-2045,MCM 357,4,1
9148,RSTD 395,,W,1800-2045,MCM 114,5,1
9201,RSTD 491,,,,ARR ,0,0
9238,SAXO 132,,,,ARR ,0,0
9239,SAXO 134,,,,ARR ,0,0
9240,SAXO 233,,,,ARR ,0,0
9241,SAXO 234,,,,ARR ,0,0
8745,SOCL 201,  AIGM,TR,1100-1215,LUTR 121,0,0
8746,SOCL 205,,TR,1100-1215,FORBES 3012,0,0
8747,SOCL 205,,TR,1500-1615,FORBES 2070A,0,0
8748,SOCL 304,,MW,1600-1715,LUTR 167,0,0
8749,SOCL 304,,MW,1800-1915,LUTR 167,0,0
8750,SOCL 306,,MWF,0900-0950,FORBES 2015,19,1
8751,SOCL 306,,MWF,1100-1150,MCM 262,5,1
8752,SOCL 314,,TR,1100-1215,FERG 201,3,1
9274,SOCL 314,,TR,1500-1615,TRIB 1210,3,1
8753,SOCL 314L,,W,1500-1615,LUTR 242,8,1
8756,SOCL 316,,TR,1630-1745,LUTR 167,1,1
8758,SOCL 331,,TR,1800-1915,LUTR 264,0,0
8759,SOCL 340,,MWF,0900-0950,LUTR 157,2,1
8760,SOCL 340,,MWF,1000-1050,LUTR 157,0,0
8761,SOCL 374,,TR,1500-1615,LUTR 142,0,0
8764,SOCL 390,  WI,MWF,1100-1150,FORBES 2088,8,1
9153,SOCL 395,,MWF,0800-0850,LUTR 170,0,0
9154,SOCL 395,,MWF,0900-0950,LUTR 170,0,0
8765,SOCL 470,  WI,TR,1500-1615,LUTR 167,3,1
8766,SOCL 470,  WI,TR,0930-1045,LUTR 167,0,0
8767,SOCL 490,  WI,TR,0930-1045,LUTR 157,0,0
8768,SOCL 490,  WI,TR,0930-1045,LUTR 131,0,0
8769,SOCL 491,,,,ARR ,0,0
8770,SOWK 201,,TR,1100-1215,LUTR 269,0,0
8772,SOWK 211,,TR,1330-1445,FORBES 2074,10,1
8773,SOWK 302,,TR,0930-1045,FORBES 3014,3,1
8774,SOWK 303,,TR,1800-1915,LUTR 376,3,1
8775,SOWK 366,,TR,0800-0915,LUTR 142,3,1
8776,SOWK 402,  WI,M,1200-1350,MCM 200B,2,1
8777,SOWK 402,  WI,W,1200-1350,MCM 200B,0,0
8778,SOWK 402,  WI,W,1200-1350,MCM 200C,1,1
8779,SOWK 498,,M,1800-2045,LUTR 157,3,1
9095,SPAN 101,,MWF,1300-1350,MCM 316,0,0
9096,SPAN 101,,MWF,1400-1450,MCM 316,0,0
9097,SPAN 101,,MWF,1100-1150,TFAC 204,0,0
9098,SPAN 102,,MWF,1000-1050,MCM 262,0,0
9099,SPAN 102,,MWF,0800-0850,MCM 257,0,0
9100,SPAN 102,,MWF,0900-0950,MCM 257,0,0
9101,SPAN 102,,MWF,1100-1150,MCM 364,0,0
9102,SPAN 102,,MWF,1200-1250,MCM 364,0,0
